"Song_Name","View_Count","Like_Count"
"You Ain't Seen Nothin' Yet Bachman-Turner Overdrive",24022651,158360
"Rock Your Baby George McCrae",11538496,74079
"Lady Marmalade LaBelle",97513,1986
"Autobahn Kraftwerk",3595960,26982
"Help Me Joni Mitchell",319414,5259
"Waterloo Abba",84738879,406885
"Can't Get Enough of Your Love, Babe Barry White",70693258,350324
"Tell Me Something Good Rufus",1083486,23550
"Born to Run Bruce Springsteen",57022159,180746
"Bohemian Rhapsody Queen",1712798779,12159730
"Walk This Way Aerosmith",11812131,139369
"Kashmir Led Zeppelin",149586868,814166
"Tangled Up in Blue Bob Dylan",7873851,46173
"Wish You Were Here Pink Floyd",245607107,1344377
"Thunder Road Bruce Springsteen",4503316,19590
"One of These Nights Eagles",35481425,251357
"Low Rider War",20718624,302653
"I'm Not in Love 10cc",26159394,280226
"Hotel California The Eagles",233970256,1036660
"Go Your Own Way Fleetwood Mac",10599918,107773
"More Than a Feeling Boston",41284466,357035
"Anarchy in the UK The Sex Pistols",10028872,100458
"Dancing Queen Abba",797899674,3754177
"(Don't Fear) The Reaper Blue Oyster Cult",74227260,635170
"Night Moves Bob Seger",18769340,135873
"Blitzkrieg Bop The Ramones",2460509,42627
"The Boys Are Back in Town Thin Lizzy",23037044,153248
"Play That Funky Music Wild Cherry",8713140,128603
"Heroes David Bowie",35149853,405397
"Best of My Love The Emotions",5622059,78723
"God Save the Queen The Sex Pistols",3593995,59443
"Brick House The Commodores",31262524,191307
"Dreams Fleetwood Mac",51362433,562628
"Paradise by the Dashboard Light Meat Loaf",83462510,366789
"I Feel Love Donna Summer",1192417,21795
"Jamming Bob Marley and the Wailers",5155442,55597
"I Will Survive Gloria Gaynor",67407280,719956
"Roxanne The Police",150956289,918303
"Sultans of Swing Dire Straits",310955616,1778501
"Heart of Glass Blondie",453660447,2597952
"One Nation Under a Groove Funkadelic",20670507,169102
"I Wanna Be Sedated The Ramones",27694621,256659
"Miss You The Rolling Stones",16666931,120205
"Le Freak Chic",19608947,232949
"Old Time Rock and Roll Bob Seger",34347544,244086
"Rock Lobster The B-52's",11879710,120011
"Another Brick in the Wall, Part 2 Pink Floyd",49416982,501851
"London Calling The Clash",56239438,395598
"Rapper's Delight The Sugarhill Gang",20008315,261867
"Good Times Chic",27919140,236364
"Dont Stop 'Til You Get Enough Michael Jackson",381103297,2467052
"We Are Family Sister Sledge",8091728,82282
"Comfortably Numb Pink Floyd",92302558,826895
"Hot Stuff Donna Summer",13746519,130880
"Brass in Pocket The Pretenders",7255746,71687
"Message in a Bottle The Police",115623376,740263
"Call Me Blondie",70490860,574715
"Celebration Kool & The Gang",299381569,1610775
"Another One Bites the Dust Queen",609955185,3969436
"You Shook Me All Night Long AC/DC",312197053,1501451
"Love Will Tear Us Apart Joy Division",82516619,619008
"Whip It Devo",20800053,201686
"Upside Down Diana Ross",921558,17550
"Fame Irene Cara",6914057,61602
"Back In Black AC/DC",988040761,6107777
"(Just Like) Starting Over John Lennon",7939547,74285
"I Love Rock N Roll Joan Jett & The Blackhearts",19882470,301360
"Don't You Want Me? Human League",183326215,920672
"Tainted Love Soft Cell",51297251,548047
"Super Freak Part I Rick James",145883171,1376442
"Start Me Up Rolling Stones",66254912,408655
"Bette Davis Eyes Kim Carnes",124041003,875260
"Endless Love Diana Ross & Lionel Richie",35554957,266911
"Our Lips Are Sealed Go-Gos",32860627,174552
"Jessie's Girl Rick Springfield",61661833,444992
"Physical Olivia Newton-John",37773887,226689
"Billie Jean Michael Jackson",1499568620,10667168
"Beat It Michael Jackson",1004443589,7410888
"Sexual Healing Marvin Gaye",193507955,1348221
"Little Red Corvette Prince",40664180,259341
"Sweet Dreams (Are Made of This) Eurythmics",871033679,7087750
"1999 Prince",29552728,225878
"Rock the Casbah Clash",92608414,549211
"Come on Eileen Dexys Midnight Runners",14527891,128774
"Every Breath You Take Police",1204284137,5221077
